command_id,description,has_profile,intent,summary,ai_constraint,learner_evidence,trace_events,use_when,avoid_when
/afsluiter,Afronding: 'Noem één ding dat je nu beter begrijpt.',False,,,,,[],[],[]
/algo_kritiek,Modelkritiek: 'Waardoor kan hier bias ontstaan in AI-uitvoer?',False,,,,,[],[],[]
/auteurschap,"Auteurschap: 'Markeer wat van jou is, wat van AI komt en waarom je dat hebt gebruikt.'",True,authorship_marking,"Markeer wat van de leerling is, wat van AI komt en waarom die AI-inzet gekozen is.",AI vervaagt de herkomst van ideeën of tekst niet.,heldere scheiding tussen eigen bijdrage en AI-bijdrage,"[""AUTHORSHIP_MARKING""]","[""AI zichtbaar heeft meegeschreven of meegedacht"", ""eigendoms- of integriteitsvraag speelt"", ""transfer of beoordeling zelfstandigheid relevant is""]","[""AI geen betekenisvolle inhoudelijke bijdrage heeft geleverd""]"
/beeld,Uitleg: 'Gebruik een metafoor/visualisatie om dit helder te maken.',False,,,,,[],[],[]
/beurtvraag,Stop met zenden. Vraag: 'Vat de kern in één zin samen.',False,,,,,[],[],[]
/bias_check,Bias-check: 'Welke aannames of databeperkingen kunnen dit kleuren?',False,,,,,[],[],[]
/bron_vraag,Bron: 'Welke specifieke bron/theorie gebruik je hiervoor?',False,,,,,[],[],[]
/bronweging,"Bronweging: 'Welke bron of feedbackgever verdient hier het meeste vertrouwen, en op basis waarvan?'",True,source_weighing,"Weeg bronnen of feedbackgevers op geloofwaardigheid, relevantie, datum, expertise en context.",AI behandelt bronnen niet als gelijkwaardig zonder expliciete weging.,verantwoording waarom een bron/feedbackgever sterker of zwakker is,"[""VERIFICATION_ACTION"", ""SOURCE_CREDIBILITY_JUDGMENT""]","[""meerdere bronnen of feedbackgevers concurreren"", ""een bron niet automatisch betrouwbaar is"", ""de bronkeuze verantwoord moet worden""]","[""er slechts één ongecontroleerde claim is en verificatie nog eerst nodig is""]"
/chain,Transparantie: 'Welke stappen volg ik (in gewone taal)? Klopt dat voor jou?',True,process_transparency,Maak de gevolgde stappen in gewone taal expliciet en toets of die navolgbaar zijn.,AI beschrijft stappen zonder verborgen beslissprongen en laat correctie toe.,bevestiging of correctie van stappenplan,"[""TURN""]","[""werkwijze bespreekbaar en controleerbaar moet worden"", ""glass-box gedrag gewenst is""]","[""het risico primair ligt bij epistemische onbetrouwbaarheid in plaats van transparantie""]"
/checkin,Vraag expliciet: 'Wat is je concrete doel en welke rol wil je dat ik neem?',False,,,,,[],[],[]
/co-construct,"Samen bouwen: 'Jij argument, ik tegenargument, jij synthese.'",False,,,,,[],[],[]
/co-teach,Samen: 'Ik verzamel; jij kiest en presenteert.',True,shared_construction,"Verdeel bijdragen expliciet: AI verzamelt of spiegelt, leerling/groep kiest en presenteert.",AI blijft ondersteunend en laat keuze en presentatie bij leerling/groep.,zichtbare keuze en presentatie door leerling/groep,"[""GROUP_REGULATION""]","[""samen construeren nuttig is zonder eigenaarschap te verliezen""]","[""AI al te dominant aanwezig is in de taakuitvoering""]"
/collectief,Collectief: 'Wat betekent dit voor de groep als geheel?',True,collective_synthesis,"Maak perspectieven, open punten, akkoord en resterende twijfel collectief expliciet.",AI forceert geen consensus en spreekt niet namens de groep zonder expliciete bevestiging.,groepssynthese met open punten en vervolgafspraak,"[""GROUP_REGULATION"", ""SHARED_EVALUATION""]","[""meerdere stemmen of posities moeten landen in een groep"", ""er spanning is tussen consensus en nuance""]","[""de taak individueel is of de groep nog geen gedeelde input heeft geleverd""]"
/contextualise,Toepassing: 'Pas dit toe in een nieuwe korte casus.',False,,,,,[],[],[]
/devil,Tegenwerping: 'Welke zwakke plek zit er in je plan?',True,stress_test,"Beproef de stevigheid van regie, plan of conclusie met een tegenwerping of alternatief.",AI daagt uit zonder de uiteindelijke keuze over te nemen.,"weerwoord, aangescherpte keuze of grensstelling","[""TURN""]","[""eigenaarschap of redenering te snel vastklikt"", ""een route te fragiel lijkt"", ""overname van feedback te makkelijk gaat""]","[""basisbegrip of veiligheid nog te laag is voor productieve challenge""]"
/diff,Niveaus: 'Kies: basis / midden / diep.',False,,,,,[],[],[]
/doel_link,Doelkoppeling: 'Hoe brengt dit je dichter bij het vakdoel?',False,,,,,[],[],[]
/evidence_chain,Bewijsketen: 'Maak expliciet hoe je van bron of feedback naar claim en conclusie gaat.',True,evidence_chain,"Maak expliciet hoe bron of feedback naar claim en conclusie leidt, inclusief voorwaarden en resttwijfel.",AI presenteert geen finale conclusie zonder expliciete bron-claim-conclusie-keten.,navolgbare bewijsketen in eigen woorden,"[""VERIFICATION_ACTION"", ""FEEDBACK_DECISION""]","[""een gewogen eindconclusie nodig is"", ""bron-claim-conclusie anders te impliciet blijft"", ""feedback meeweegt in synthese""]","[""basisverificatie nog niet heeft plaatsgevonden""]"
/exclusie_check,Exclusie: 'Welke perspectieven of groepen ontbreken?',False,,,,,[],[],[]
/fading,Zelfstandig: 'Doe deze stap nu zonder hulp.',False,,,,,[],[],[]
/falsificatie,Tegenbewijs: 'Welke informatie zou dit onderuit halen?',False,,,,,[],[],[]
/fase_check,"Fase-check: 'Oriëntatie, uitvoering of evaluatie?'",False,,,,,[],[],[]
/feedback_keuze,"Feedbackkeuze: 'Welke feedback neem je over, welke niet, en waarom?'",True,feedback_literacy,"Maak expliciet welke feedback wordt overgenomen, welke niet, en op basis van welke criteria.",AI vat feedback niet normatief samen als definitief oordeel vóór de leerling motiveert wat wel of niet bruikbaar is.,expliciete uptake-rationale per feedbackpunt,"[""FEEDBACK_DECISION"", ""SOURCE_CREDIBILITY_JUDGMENT""]","[""feedback tegenstrijdig is"", ""een leerling advies overneemt zonder rationale"", ""kwaliteit van feedback expliciet gewogen moet worden""]","[""er nog geen feedback of kwaliteitscriterium beschikbaar is""]"
/feit_mening,Afspraak: 'Gaat dit om feitencheck of om mening/interpretatie?',False,,,,,[],[],[]
/flits,Flits: 'Vijf korte recall-vragen op tempo.',False,,,,,[],[],[]
/generalise,Generaliseer: 'Wat is de algemene regel hier?',False,,,,,[],[],[]
/inclusie,Inclusie: 'Herschrijf neutraler en inclusiever.',False,,,,,[],[],[]
/intro,Voorkennis: 'Noem 3 begrippen die je met dit onderwerp associeert.',False,,,,,[],[],[]
/keuze,Bied twee routes (A/B) en laat de leerling kiezen.,False,,,,,[],[],[]
/leervraag,Doel: 'Wat wil je bereiken en wat is het eindproduct?',False,,,,,[],[],[]
/mens_vs_ai,"Verdeling: 'Wat doe jij, wat doe ik, en waarom is dat handig?'",False,,,,,[],[],[]
/meta,Proces-check: 'Hoe werkt onze aanpak tot nu toe?',False,,,,,[],[],[]
/misvatting,Fout-check: 'Hier is een fout antwoord; vind en corrigeer de fout.',False,,,,,[],[],[]
/modelen,Modeling: 'Ik doe het één keer voor; daarna doe jij het stap voor stap.',False,,,,,[],[],[]
/nieuwsgierig,Nieuwsgierigheid: 'Formuleer 3 vragen die nog open staan.',False,,,,,[],[],[]
/peer,Peer: 'Hoe zou een klasgenoot dit bekritiseren?',False,,,,,[],[],[]
/proces_eval,Terugblik: 'Wat hebben we gedaan en wat is de volgende stap?',False,,,,,[],[],[]
/prompt_steer,"Sturing: 'Wil je korter, concreter of dieper?'",True,interaction_steering,Maak expliciet welke vorm van output of ondersteuning de leerling nu nodig heeft.,AI blijft binnen afgesproken subtaak en neemt geen bredere inhoudelijke regie over.,"specifieke vraag naar formaat, diepte of richting","[""TURN""]","[""AI functioneel op deeltaken wordt ingezet"", ""vorm/precisie belangrijker is dan inhoudelijke overname""]","[""de eigenlijke didactische vraag regie, verificatie of transfer betreft""]"
/quizgen,Toets: 'Maak 3 formatieve vragen (MC/open/stelling).',False,,,,,[],[],[]
/ref,Expliciteren: 'Waarom kies je deze aanpak/aanname?',True,rationale_explication,"Laat de leerling expliciteren waarom een keuze, aanname of route passend is.",AI neemt rationale niet over maar vraagt ernaar en spiegelt die terug.,expliciete keuze- of feedbackrationale,"[""TURN""]","[""een keuze snel gemaakt wordt"", ""feedbackbesluiten verantwoord moeten worden"", ""co-regulatie expliciete rationale vraagt""]","[""de kennissoort nog onduidelijk is en eerst diagnose nodig is""]"
/relevantie,Relevantie: 'Waarom is dit belangrijk en voor wie?',False,,,,,[],[],[]
/rolwissel,Rolwissel: 'Neem een andere rol (bv. journalist) en stel kritische vragen.',False,,,,,[],[],[]
/rubric,Zelfbeoordeling: 'Scoor jezelf per criterium en licht toe.',False,,,,,[],[],[]
/schema,Ordenen: 'Maak een korte lijst of conceptmap van wat je al weet.',False,,,,,[],[],[]
/social_check,Context: 'Individueel of samen? Voor wie is dit bedoeld?',False,,,,,[],[],[]
/ssrl_check,"Gedeelde regulatie: 'Wat is ons gedeelde doel, wie bewaakt voortgang, wie checkt kwaliteit en wanneer evalueren we?'",True,shared_regulation,"Maak gedeeld doel, rolverdeling, monitoring, kwaliteitsbewaking en evaluatiemoment expliciet.",AI neemt groepsregie of besluitvorming niet impliciet over; het structureert alleen de gezamenlijke regulatie.,"gedeeld doel, rolverdeling en monitorings-/evaluatieafspraak","[""GROUP_REGULATION"", ""SHARED_GOAL_SET"", ""SHARED_MONITORING"", ""SHARED_EVALUATION""]","[""AI in groepswerk of samenwerkende context meespeelt"", ""rollen onduidelijk zijn"", ""de groep moet afstemmen op kwaliteit en voortgang""]","[""de taak expliciet individueel is en geen gedeelde regulatie nodig heeft""]"
/stappenplan,Stappenplan: 'Werk in genummerde stappen.',False,,,,,[],[],[]
/synthese,Weging: 'Wat is je gewogen conclusie met voorwaarden?',True,synthesis,Breng informatie of perspectieven samen tot een gewogen conclusie met voorwaarden.,AI synthetiseert niet voorbij de bewijsbasis en houdt voorwaarden zichtbaar.,gewogen conclusie met voorwaarden,"[""TURN""]","[""verificatie of bronweging al is gebeurd"", ""er meerdere elementen samen moeten komen""]","[""verificatie of feedbackweging nog ontbreekt""]"
/teach,Doceren: 'Leg dit uit aan een jongere leerling.',True,teach_back,Laat de leerling iets uitleggen aan een ander om begrip en structurele beheersing zichtbaar te maken.,AI levert niet de teach-back zelf; de leerling formuleert.,uitleg in eigen woorden aan een veronderstelde ander,"[""INDEPENDENT_RETRY""]","[""duurzame beschikbaarheid of begrip gecheckt moet worden"", ""een synthese eigen gemaakt moet worden""]","[""de basiskennis nog te fragiel is voor uitleg aan een ander""]"
/tool_aware,Rol van AI: 'Ik voorspel taalpatronen; controleer feiten waar nodig extern.',False,,,,,[],[],[]
/transfeer,Transfer: 'Noem een toepassing buiten deze context.',True,transfer,"Laat toepassing in een andere context expliciet maken, inclusief overeenkomst en verschil met de bronsituatie.",AI accepteert transfer niet als label zonder nieuwe context en zelfstandige toepassing.,toepassing in nieuwe context plus verschil/overeenkomst,"[""TRANSFER_ATTEMPT"", ""INDEPENDENT_RETRY""]","[""transfer wordt nagestreefd of geclaimd"", ""een concept buiten de taak getest moet worden""]","[""de basisstap nog niet zelfstandig beheerst wordt""]"
/triangulatie,Triangulatie: 'Check dit met een tweede onafhankelijke bron.',True,triangulation,Vergelijk minstens twee onafhankelijke bronnen of controlelijnen en verantwoord hun verhouding.,AI behandelt een tweede bron niet als decoratie maar als onafhankelijke controlelijn.,"uitleg waarom de tweede bron versterkt, nuanceert of corrigeert","[""VERIFICATION_ACTION"", ""SOURCE_CREDIBILITY_JUDGMENT""]","[""een claim al eenmaal gecontroleerd is maar steviger onderbouwd moet worden"", ""bronkwaliteit onderling afgewogen moet worden""]","[""er nog niet één concrete verificatiestap is benoemd""]"
/twist,Perspectief: 'Redeneer dit vanuit het tegenovergestelde standpunt.',False,,,,,[],[],[]
/vergelijk,Vergelijking: 'Zet dit naast X: overeenkomsten/verschillen.',False,,,,,[],[],[]
/verify,Verificatie: 'Welke bron/controleactie kan dit bevestigen?',True,verification,"Benoem een concrete controleactie die de claim, feedback of veronderstelling kan bevestigen of ontkrachten.",AI vertraagt conclusie en geeft geen waarheidsclaim vóór verificatiestap.,concrete checkactie of controlebron,"[""VERIFICATION_ACTION""]","[""een claim ongeverifieerd is"", ""zekerheidstaal zonder basis verschijnt"", ""feedback direct wordt overgenomen""]","[""bronweging pas zinvol is nadat een eerste controleactie is benoemd""]"
/vertraging,Vertraagde herneming: 'Kom hier later zonder hulp op terug: wat weet je nog en wanneer gebruik je dit?',True,delayed_recall,Plan of simuleer vertraagde herneming om duurzame beschikbaarheid zichtbaar te maken.,AI sluit niet af met een duurzaamheidsclaim zonder delayed recall of aantoonbare no-AI herneming.,"latere reproductie, herkenning van toepassingsmoment en uitleg in eigen woorden","[""DELAYED_RECALL"", ""INDEPENDENT_RETRY""]","[""duurzaam leren of transfer wordt geclaimd"", ""afsluiting te snel komt na ondersteuning"", ""je wilt testen wat later beschikbaar blijft""]","[""de eerste begripstoets nog niet gehaald is""]"
/vocab,Begrippen: 'Verwerk 5 kernbegrippen in je eigen formulering.',False,,,,,[],[],[]
/zonder_ai,Zelfstandige herneming: 'Doe nu dezelfde stap zonder AI en leg je keuze in eigen woorden uit.',True,independent_retry,Laat dezelfde of een verwante stap zelfstandig uitvoeren en de keuze in eigen woorden verantwoorden.,"AI geeft geen volledige uitwerking; hoogstens een skeleton, afbakening of controlecriterium.",zelfstandige herneming plus eigen verantwoording,"[""INDEPENDENT_RETRY"", ""AUTHORSHIP_MARKING""]","[""AI-dominantie dreigt"", ""transfer of duurzaamheid wordt geclaimd"", ""begrip na scaffolding moet worden getoetst""]","[""de leerling nog geen minimale steunstructuur of begrip heeft om zinvol te kunnen hernemen""]"
