id,description,intent,summary,use_when,avoid_when,ai_constraint,learner_evidence,trace_events,semantic_role,literal_prompt_binding_allowed
/checkin,Vraag expliciet: 'Wat is je concrete doel en welke rol wil je dat ik neem?',,,[],[],,,[],canonical_command_intent,False
/beurtvraag,Stop met zenden. Vraag: 'Vat de kern in één zin samen.',,,[],[],,,[],canonical_command_intent,False
/keuze,Bied twee routes (A/B) en laat de leerling kiezen.,,,[],[],,,[],canonical_command_intent,False
/meta,Proces-check: 'Hoe werkt onze aanpak tot nu toe?',,,[],[],,,[],canonical_command_intent,False
/ref,Expliciteren: 'Waarom kies je deze aanpak/aanname?',rationale_explication,"Laat de leerling expliciteren waarom een keuze, aanname of route passend is.","[""een keuze snel gemaakt wordt"", ""feedbackbesluiten verantwoord moeten worden"", ""co-regulatie expliciete rationale vraagt""]","[""de kennissoort nog onduidelijk is en eerst diagnose nodig is""]",AI neemt rationale niet over maar vraagt ernaar en spiegelt die terug.,expliciete keuze- of feedbackrationale,"[""TURN""]",canonical_command_intent,False
/devil,Tegenwerping: 'Welke zwakke plek zit er in je plan?',stress_test,"Beproef de stevigheid van regie, plan of conclusie met een tegenwerping of alternatief.","[""eigenaarschap of redenering te snel vastklikt"", ""een route te fragiel lijkt"", ""overname van feedback te makkelijk gaat""]","[""basisbegrip of veiligheid nog te laag is voor productieve challenge""]",AI daagt uit zonder de uiteindelijke keuze over te nemen.,"weerwoord, aangescherpte keuze of grensstelling","[""TURN""]",canonical_command_intent,False
/fase_check,"Fase-check: 'Oriëntatie, uitvoering of evaluatie?'",,,[],[],,,[],canonical_command_intent,False
/intro,Voorkennis: 'Noem 3 begrippen die je met dit onderwerp associeert.',,,[],[],,,[],canonical_command_intent,False
/schema,Ordenen: 'Maak een korte lijst of conceptmap van wat je al weet.',,,[],[],,,[],canonical_command_intent,False
/beeld,Uitleg: 'Gebruik een metafoor/visualisatie om dit helder te maken.',,,[],[],,,[],canonical_command_intent,False
/quizgen,Toets: 'Maak 3 formatieve vragen (MC/open/stelling).',,,[],[],,,[],canonical_command_intent,False
/rubric,Zelfbeoordeling: 'Scoor jezelf per criterium en licht toe.',,,[],[],,,[],canonical_command_intent,False
/leervraag,Doel: 'Wat wil je bereiken en wat is het eindproduct?',,,[],[],,,[],canonical_command_intent,False
/twist,Perspectief: 'Redeneer dit vanuit het tegenovergestelde standpunt.',,,[],[],,,[],canonical_command_intent,False
/vocab,Begrippen: 'Verwerk 5 kernbegrippen in je eigen formulering.',,,[],[],,,[],canonical_command_intent,False
/co-construct,"Samen bouwen: 'Jij argument, ik tegenargument, jij synthese.'",,,[],[],,,[],canonical_command_intent,False
/diff,Niveaus: 'Kies: basis / midden / diep.',,,[],[],,,[],canonical_command_intent,False
/misvatting,Fout-check: 'Hier is een fout antwoord; vind en corrigeer de fout.',,,[],[],,,[],canonical_command_intent,False
/nieuwsgierig,Nieuwsgierigheid: 'Formuleer 3 vragen die nog open staan.',,,[],[],,,[],canonical_command_intent,False
/vergelijk,Vergelijking: 'Zet dit naast X: overeenkomsten/verschillen.',,,[],[],,,[],canonical_command_intent,False
/contextualise,Toepassing: 'Pas dit toe in een nieuwe korte casus.',,,[],[],,,[],canonical_command_intent,False
/tool_aware,Rol van AI: 'Ik voorspel taalpatronen; controleer feiten waar nodig extern.',,,[],[],,,[],canonical_command_intent,False
/verify,Verificatie: 'Welke bron/controleactie kan dit bevestigen?',verification,"Benoem een concrete controleactie die de claim, feedback of veronderstelling kan bevestigen of ontkrachten.","[""een claim ongeverifieerd is"", ""zekerheidstaal zonder basis verschijnt"", ""feedback direct wordt overgenomen""]","[""bronweging pas zinvol is nadat een eerste controleactie is benoemd""]",AI vertraagt conclusie en geeft geen waarheidsclaim vóór verificatiestap.,concrete checkactie of controlebron,"[""VERIFICATION_ACTION""]",canonical_command_intent,False
/prompt_steer,"Sturing: 'Wil je korter, concreter of dieper?'",interaction_steering,Maak expliciet welke vorm van output of ondersteuning de leerling nu nodig heeft.,"[""AI functioneel op deeltaken wordt ingezet"", ""vorm/precisie belangrijker is dan inhoudelijke overname""]","[""de eigenlijke didactische vraag regie, verificatie of transfer betreft""]",AI blijft binnen afgesproken subtaak en neemt geen bredere inhoudelijke regie over.,"specifieke vraag naar formaat, diepte of richting","[""TURN""]",canonical_command_intent,False
/chain,Transparantie: 'Welke stappen volg ik (in gewone taal)? Klopt dat voor jou?',process_transparency,Maak de gevolgde stappen in gewone taal expliciet en toets of die navolgbaar zijn.,"[""werkwijze bespreekbaar en controleerbaar moet worden"", ""glass-box gedrag gewenst is""]","[""het risico primair ligt bij epistemische onbetrouwbaarheid in plaats van transparantie""]",AI beschrijft stappen zonder verborgen beslissprongen en laat correctie toe.,bevestiging of correctie van stappenplan,"[""TURN""]",canonical_command_intent,False
/mens_vs_ai,"Verdeling: 'Wat doe jij, wat doe ik, en waarom is dat handig?'",,,[],[],,,[],canonical_command_intent,False
/bias_check,Bias-check: 'Welke aannames of databeperkingen kunnen dit kleuren?',,,[],[],,,[],canonical_command_intent,False
/feit_mening,Afspraak: 'Gaat dit om feitencheck of om mening/interpretatie?',,,[],[],,,[],canonical_command_intent,False
/bron_vraag,Bron: 'Welke specifieke bron/theorie gebruik je hiervoor?',,,[],[],,,[],canonical_command_intent,False
/triangulatie,Triangulatie: 'Check dit met een tweede onafhankelijke bron.',triangulation,Vergelijk minstens twee onafhankelijke bronnen of controlelijnen en verantwoord hun verhouding.,"[""een claim al eenmaal gecontroleerd is maar steviger onderbouwd moet worden"", ""bronkwaliteit onderling afgewogen moet worden""]","[""er nog niet één concrete verificatiestap is benoemd""]",AI behandelt een tweede bron niet als decoratie maar als onafhankelijke controlelijn.,"uitleg waarom de tweede bron versterkt, nuanceert of corrigeert","[""VERIFICATION_ACTION"", ""SOURCE_CREDIBILITY_JUDGMENT""]",canonical_command_intent,False
/falsificatie,Tegenbewijs: 'Welke informatie zou dit onderuit halen?',,,[],[],,,[],canonical_command_intent,False
/synthese,Weging: 'Wat is je gewogen conclusie met voorwaarden?',synthesis,Breng informatie of perspectieven samen tot een gewogen conclusie met voorwaarden.,"[""verificatie of bronweging al is gebeurd"", ""er meerdere elementen samen moeten komen""]","[""verificatie of feedbackweging nog ontbreekt""]",AI synthetiseert niet voorbij de bewijsbasis en houdt voorwaarden zichtbaar.,gewogen conclusie met voorwaarden,"[""TURN""]",canonical_command_intent,False
/social_check,Context: 'Individueel of samen? Voor wie is dit bedoeld?',,,[],[],,,[],canonical_command_intent,False
/peer,Peer: 'Hoe zou een klasgenoot dit bekritiseren?',,,[],[],,,[],canonical_command_intent,False
/teach,Doceren: 'Leg dit uit aan een jongere leerling.',teach_back,Laat de leerling iets uitleggen aan een ander om begrip en structurele beheersing zichtbaar te maken.,"[""duurzame beschikbaarheid of begrip gecheckt moet worden"", ""een synthese eigen gemaakt moet worden""]","[""de basiskennis nog te fragiel is voor uitleg aan een ander""]",AI levert niet de teach-back zelf; de leerling formuleert.,uitleg in eigen woorden aan een veronderstelde ander,"[""INDEPENDENT_RETRY""]",canonical_command_intent,False
/rolwissel,Rolwissel: 'Neem een andere rol (bv. journalist) en stel kritische vragen.',,,[],[],,,[],canonical_command_intent,False
/co-teach,Samen: 'Ik verzamel; jij kiest en presenteert.',shared_construction,"Verdeel bijdragen expliciet: AI verzamelt of spiegelt, leerling/groep kiest en presenteert.","[""samen construeren nuttig is zonder eigenaarschap te verliezen""]","[""AI al te dominant aanwezig is in de taakuitvoering""]",AI blijft ondersteunend en laat keuze en presentatie bij leerling/groep.,zichtbare keuze en presentatie door leerling/groep,"[""GROUP_REGULATION""]",canonical_command_intent,False
/collectief,Collectief: 'Wat betekent dit voor de groep als geheel?',collective_synthesis,"Maak perspectieven, open punten, akkoord en resterende twijfel collectief expliciet.","[""meerdere stemmen of posities moeten landen in een groep"", ""er spanning is tussen consensus en nuance""]","[""de taak individueel is of de groep nog geen gedeelde input heeft geleverd""]",AI forceert geen consensus en spreekt niet namens de groep zonder expliciete bevestiging.,groepssynthese met open punten en vervolgafspraak,"[""GROUP_REGULATION"", ""SHARED_EVALUATION""]",canonical_command_intent,False
/proces_eval,Terugblik: 'Wat hebben we gedaan en wat is de volgende stap?',,,[],[],,,[],canonical_command_intent,False
/fading,Zelfstandig: 'Doe deze stap nu zonder hulp.',,,[],[],,,[],canonical_command_intent,False
/generalise,Generaliseer: 'Wat is de algemene regel hier?',,,[],[],,,[],canonical_command_intent,False
/doel_link,Doelkoppeling: 'Hoe brengt dit je dichter bij het vakdoel?',,,[],[],,,[],canonical_command_intent,False
/transfeer,Transfer: 'Noem een toepassing buiten deze context.',transfer,"Laat toepassing in een andere context expliciet maken, inclusief overeenkomst en verschil met de bronsituatie.","[""transfer wordt nagestreefd of geclaimd"", ""een concept buiten de taak getest moet worden""]","[""de basisstap nog niet zelfstandig beheerst wordt""]",AI accepteert transfer niet als label zonder nieuwe context en zelfstandige toepassing.,toepassing in nieuwe context plus verschil/overeenkomst,"[""TRANSFER_ATTEMPT"", ""INDEPENDENT_RETRY""]",canonical_command_intent,False
/afsluiter,Afronding: 'Noem één ding dat je nu beter begrijpt.',,,[],[],,,[],canonical_command_intent,False
/relevantie,Relevantie: 'Waarom is dit belangrijk en voor wie?',,,[],[],,,[],canonical_command_intent,False
/inclusie,Inclusie: 'Herschrijf neutraler en inclusiever.',,,[],[],,,[],canonical_command_intent,False
/exclusie_check,Exclusie: 'Welke perspectieven of groepen ontbreken?',,,[],[],,,[],canonical_command_intent,False
/algo_kritiek,Modelkritiek: 'Waardoor kan hier bias ontstaan in AI-uitvoer?',,,[],[],,,[],canonical_command_intent,False
/modelen,Modeling: 'Ik doe het één keer voor; daarna doe jij het stap voor stap.',,,[],[],,,[],canonical_command_intent,False
/flits,Flits: 'Vijf korte recall-vragen op tempo.',,,[],[],,,[],canonical_command_intent,False
/stappenplan,Stappenplan: 'Werk in genummerde stappen.',,,[],[],,,[],canonical_command_intent,False
/feedback_keuze,"Feedbackkeuze: 'Welke feedback neem je over, welke niet, en waarom?'",feedback_literacy,"Maak expliciet welke feedback wordt overgenomen, welke niet, en op basis van welke criteria.","[""feedback tegenstrijdig is"", ""een leerling advies overneemt zonder rationale"", ""kwaliteit van feedback expliciet gewogen moet worden""]","[""er nog geen feedback of kwaliteitscriterium beschikbaar is""]",AI vat feedback niet normatief samen als definitief oordeel vóór de leerling motiveert wat wel of niet bruikbaar is.,expliciete uptake-rationale per feedbackpunt,"[""FEEDBACK_DECISION"", ""SOURCE_CREDIBILITY_JUDGMENT""]",canonical_command_intent,False
/bronweging,"Bronweging: 'Welke bron of feedbackgever verdient hier het meeste vertrouwen, en op basis waarvan?'",source_weighing,"Weeg bronnen of feedbackgevers op geloofwaardigheid, relevantie, datum, expertise en context.","[""meerdere bronnen of feedbackgevers concurreren"", ""een bron niet automatisch betrouwbaar is"", ""de bronkeuze verantwoord moet worden""]","[""er slechts één ongecontroleerde claim is en verificatie nog eerst nodig is""]",AI behandelt bronnen niet als gelijkwaardig zonder expliciete weging.,verantwoording waarom een bron/feedbackgever sterker of zwakker is,"[""VERIFICATION_ACTION"", ""SOURCE_CREDIBILITY_JUDGMENT""]",canonical_command_intent,False
/ssrl_check,"Gedeelde regulatie: 'Wat is ons gedeelde doel, wie bewaakt voortgang, wie checkt kwaliteit en wanneer evalueren we?'",shared_regulation,"Maak gedeeld doel, rolverdeling, monitoring, kwaliteitsbewaking en evaluatiemoment expliciet.","[""AI in groepswerk of samenwerkende context meespeelt"", ""rollen onduidelijk zijn"", ""de groep moet afstemmen op kwaliteit en voortgang""]","[""de taak expliciet individueel is en geen gedeelde regulatie nodig heeft""]",AI neemt groepsregie of besluitvorming niet impliciet over; het structureert alleen de gezamenlijke regulatie.,"gedeeld doel, rolverdeling en monitorings-/evaluatieafspraak","[""GROUP_REGULATION"", ""SHARED_GOAL_SET"", ""SHARED_MONITORING"", ""SHARED_EVALUATION""]",canonical_command_intent,False
/zonder_ai,Zelfstandige herneming: 'Doe nu dezelfde stap zonder AI en leg je keuze in eigen woorden uit.',independent_retry,Laat dezelfde of een verwante stap zelfstandig uitvoeren en de keuze in eigen woorden verantwoorden.,"[""AI-dominantie dreigt"", ""transfer of duurzaamheid wordt geclaimd"", ""begrip na scaffolding moet worden getoetst""]","[""de leerling nog geen minimale steunstructuur of begrip heeft om zinvol te kunnen hernemen""]","AI geeft geen volledige uitwerking; hoogstens een skeleton, afbakening of controlecriterium.",zelfstandige herneming plus eigen verantwoording,"[""INDEPENDENT_RETRY"", ""AUTHORSHIP_MARKING""]",canonical_command_intent,False
/vertraging,Vertraagde herneming: 'Kom hier later zonder hulp op terug: wat weet je nog en wanneer gebruik je dit?',delayed_recall,Plan of simuleer vertraagde herneming om duurzame beschikbaarheid zichtbaar te maken.,"[""duurzaam leren of transfer wordt geclaimd"", ""afsluiting te snel komt na ondersteuning"", ""je wilt testen wat later beschikbaar blijft""]","[""de eerste begripstoets nog niet gehaald is""]",AI sluit niet af met een duurzaamheidsclaim zonder delayed recall of aantoonbare no-AI herneming.,"latere reproductie, herkenning van toepassingsmoment en uitleg in eigen woorden","[""DELAYED_RECALL"", ""INDEPENDENT_RETRY""]",canonical_command_intent,False
/auteurschap,"Auteurschap: 'Markeer wat van jou is, wat van AI komt en waarom je dat hebt gebruikt.'",authorship_marking,"Markeer wat van de leerling is, wat van AI komt en waarom die AI-inzet gekozen is.","[""AI zichtbaar heeft meegeschreven of meegedacht"", ""eigendoms- of integriteitsvraag speelt"", ""transfer of beoordeling zelfstandigheid relevant is""]","[""AI geen betekenisvolle inhoudelijke bijdrage heeft geleverd""]",AI vervaagt de herkomst van ideeën of tekst niet.,heldere scheiding tussen eigen bijdrage en AI-bijdrage,"[""AUTHORSHIP_MARKING""]",canonical_command_intent,False
/evidence_chain,Bewijsketen: 'Maak expliciet hoe je van bron of feedback naar claim en conclusie gaat.',evidence_chain,"Maak expliciet hoe bron of feedback naar claim en conclusie leidt, inclusief voorwaarden en resttwijfel.","[""een gewogen eindconclusie nodig is"", ""bron-claim-conclusie anders te impliciet blijft"", ""feedback meeweegt in synthese""]","[""basisverificatie nog niet heeft plaatsgevonden""]",AI presenteert geen finale conclusie zonder expliciete bron-claim-conclusie-keten.,navolgbare bewijsketen in eigen woorden,"[""VERIFICATION_ACTION"", ""FEEDBACK_DECISION""]",canonical_command_intent,False
