id,source_id,name,source,role,phase_primary,phase_secondary,gamma_p_band_candidates,goal,duration,grouping,focus,prompt_type,prompt_description,startscript,decision_rules,success_criteria,follow_up_questions,mapped_canonical_commands,selection_hint,direct_band_score_allowed,may_log_as_fix
fw_duim_peiling,duim_peiling,Duimpeiling,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""START"", ""PRACTICE""]","[""P2"", ""P3""]",Snelle begripscheck,1 min,Klas,metacognitie,TYPE2_ONTWERP,Duim omhoog/opzij/omlaag als snelle check.,"[""Duim omhoog: ik snap het. Duim opzij: ik twijfel. Duim omlaag: ik snap het niet. Geef aan na mijn uitleg.""]","[""Als >5 duim omlaag: directe heruitleg met ander voorbeeld."", ""Als veel opzij: 1 gerichte checkvraag stellen.""]","[""Eerlijke inschatting"", ""Zonder naar anderen kijken""]","[""Waar zit je twijfel?"", ""Wat zou helpen?""]","[""/meta"", ""/proces_eval"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_hardop_denken,hardop_denken,Hardop denken,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""PRACTICE""]","[""P2"", ""P3""]",Denkproces zichtbaar maken,5 min,Duo,redeneren,TYPE2_ONTWERP,"Eén leerling denkt hardop, ander noteert denkstappen.","[""A lost [OPGAVE] op en denkt hardop. B schrijft de denkstappen op. Wissel na 2 min."", ""Vergelijk: welke stappen waren hetzelfde, welke verschilden?""]","[""Als A stil valt: B stelt \""Wat denk je nu?\""-vraag."", ""Als stappen missen: samen aanvullen met signaalwoorden.""]","[""Denkstappen zichtbaar"", ""Partner heeft genoteerd"", ""Vergelijking gemaakt""]","[""Welke denkstap was het moeilijkst?"", ""Waar verschilde jullie aanpak?""]","[""/ref"", ""/devil"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_zinnen_ranken,zinnen_ranken,Zinnen ranken,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,INSTRUCTION,"[""PRACTICE""]","[""P2"", ""P3""]",Kwaliteit van formuleringen beoordelen,4 min,Duo,precisie,TYPE3_MATERIAAL,3 antwoorden van zwak naar sterk rangschikken.,"[""Hier zijn 3 antwoorden (A, B, C) op dezelfde vraag. Zet ze in volgorde van zwak naar sterk. Leg uit waarom met criteria.""]","[""Als ranking zonder uitleg: verplicht per antwoord 1 criterium noemen."", ""Als iedereen dezelfde ranking: bespreek het zwakste antwoord, hoe verbeteren?""]","[""Ranking met uitleg"", ""Criteria benoemd"", ""Vakterm in beoordeling""]","[""Welk criterium weegt het zwaarst?"", ""Hoe maak je B net zo goed als A?""]","[""/verify"", ""/feit_mening"", ""/beeld"", ""/modelen"", ""/beurtvraag""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_peerfeedback,peerfeedback,Peerfeedback,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""CLOSING""]","[""P3"", ""P4""]",Kwaliteit herkennen + verbeteren,8 min,Duo,criteria,TYPE2_ONTWERP,"Feedbackstructuur: succescriteria, feedbackframe, voorbeeldwerk.","[""Ruil werk. Gebruik de checklist. Schrijf: 1 sterk punt + 1 volgende stap."", ""Maker: kies één tip en voer die nu uit.""]","[""Als feedback te algemeen: verplicht \""Ik zie … omdat …\""."", ""Als tips niet worden verwerkt: maak redo verplicht met tijd (2 min).""]","[""Criterium benoemen met bewijs"", ""Concrete volgende stap"", ""Vakterm in feedback""]","[""Welk criterium scoort al goed?"", ""Wat is de kleinste aanpassing met grootste effect?""]","[""/rubric"", ""/feedback_keuze"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_conceptmap,conceptmap,Conceptmap,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""INSTRUCTION"", ""CLOSING""]","[""P3"", ""P4""]",Relaties leggen en bewijzen,8 min,Individueel,relaties,TYPE3_MATERIAAL,"Conceptmap-startset: kernbegrippen, relatiewoorden, koppelingen.","[""Maak een conceptmap van de begrippen op het bord. Gebruik pijlen met signaalwoord (leidt tot, veroorzaakt, hangt af van).""]","[""Als kaarten los staan: verplicht 2 relaties met signaalwoord."", ""Als relaties kloppen maar taal vaag: laat 1 pijl herschrijven als volledige zin.""]","[""Minimaal 4 begrippen verbonden"", ""Elke pijl met signaalwoord"", ""Eén verbinding uitleggen""]","[""Welke verbinding is het belangrijkst?"", ""Welk begrip staat los?"", ""Welke pijl kun je omkeren?""]","[""/schema"", ""/vergelijk"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_fout_antwoord,fout_antwoord,Fout antwoord analyseren,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""INSTRUCTION""]","[""P3"", ""P4""]",Misconcepties veilig bespreken,5 min,Klas,herstellen,TYPE2_ONTWERP,Fout-antwoord met gemarkeerde fouten en correcte redenering.,"[""Hier is een fout antwoord. Vind de fout en leg uit waarom het fout is.""]","[""Als leerlingen de fout zien maar niet verklaren: geef \""Dit is fout omdat…\""."", ""Als dezelfde misconceptie terugkomt: maak er een wisbordjes-vraag van.""]","[""Fout benoemen met vakterm"", ""Uitleggen waarom fout"", ""Correcte versie formuleren""]","[""Waarom is dit verleidelijk als antwoord?"", ""Welke stap mist er?"", ""Hoe verbeter je het?""]","[""/misvatting"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_transfer_vraag,transfer_vraag,Transfer-vraag,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""CLOSING""]","[""P3"", ""P4""]",Kennis toepassen in nieuwe context,8 min,Individueel,toepassen,TYPE3_MATERIAAL,"Transfercasus met context, vraag en redeneerskeleton.","[""Pas wat je geleerd hebt toe op deze nieuwe situatie. Gebruik het zinsframe.""]","[""Als leerlingen reproduceren: verplicht \""Dit verschilt van het voorbeeld doordat…\""."", ""Als transferzin vaag: laat vakterm + bewijs toevoegen.""]","[""Toepassen op nieuwe context"", ""Verschil benoemen"", ""Vakterm in redenering""]","[""Wat is het verschil met het lesvoorbeeld?"", ""Welke regel werkt hier ook?""]","[""/contextualise"", ""/transfeer"", ""/fading"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_gallery_walk,gallery_walk,Gallery walk,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""CLOSING""]","[""P3"", ""P4""]",Kwaliteit herkennen via vergelijken,10 min,Klas,vergelijken,TYPE3_MATERIAAL,Feedbackframes en vergelijkingscriteria voor gallery walk.,"[""Loop langs het werk. Schrijf bij 2 werkstukken: 1 sterk punt + 1 vraag.""]","[""Als feedback oppervlakkig: verplicht criterium + bewijszin."", ""Als vergelijking ontbreekt: verplicht \""Dit is sterker dan … doordat…\"".""]","[""Bij 2 werken feedback"", ""Criterium benoemen"", ""Vergelijking met signaalwoord""]","[""Welk werk is het sterkst?"", ""Welk criterium komt het vaakst terug?""]","[""/vergelijk"", ""/ref"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_checklist_werk,checklist_werk,Checklist-werk,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""CLOSING""]","[""P3"", ""P4""]",Zelfevaluatie met criteria,4 min,Individueel,criteria,TYPE2_ONTWERP,Eigen werk controleren aan de hand van succescriteria.,"[""Pak de checklist. Loop je werk na: vink af wat je hebt, markeer wat nog ontbreekt. Schrijf bij elk ontbrekend punt wat je gaat verbeteren.""]","[""Als alles aangevinkt maar werk is zwak: bespreek 1 criterium concreet met voorbeeld."", ""Als >2 items missen: laat prioriteren welke eerst.""]","[""Alle criteria gecheckt"", ""Verbeterpunten concreet"", ""Vakterm in verbetering""]","[""Welk criterium is het lastigst?"", ""Hoe weet je of je verbetering genoeg is?""]","[""/rubric"", ""/feedback_keuze"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_redo_verbeteren,redo_verbeteren,Redo-ronde,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,[],"[""P3"", ""P4""]",Gericht verbeteren na feedback,5 min,Individueel,herstellen,TYPE2_ONTWERP,Leerling verbetert specifiek onderdeel na feedback.,"[""Kies 1 feedback-punt. Verbeter dat onderdeel nu in 5 minuten. Gebruik: \""Ik heb veranderd… doordat…\"".""]","[""Als verbetering cosmetisch: verplicht inhoudelijke aanpassing met vakterm."", ""Als geen feedback gekozen: docent wijst 1 punt aan.""]","[""Concreet onderdeel verbeterd"", ""Verschil uitleggen"", ""Vakterm in verbetering""]","[""Wat is er nu sterker?"", ""Welke stap hielp het meest?""]","[""/misvatting"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_schrijf_duo,schrijf_duo,Schrijf-duo,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""INSTRUCTION""]","[""P3"", ""P4""]",Samen formuleren versterkt taal,8 min,Duo,zinsbouw,TYPE3_MATERIAAL,Samen één tekst schrijven met taalverdeling.,"[""A schrijft zin 1 en 3, B schrijft zin 2 en 4. Elke zin bouwt voort op de vorige. Gebruik minimaal 2 vaktermen en 1 signaalwoord.""]","[""Als zinnen niet aansluiten: verplicht verbindingswoord aan begin van elke zin."", ""Als vaktermen missen: geef 3 woorden, laat inbouwen.""]","[""4 zinnen logisch opgebouwd"", ""Minstens 2 vaktermen"", ""Signaalwoord aanwezig""]","[""Welke zin is het sterkst?"", ""Waar sluit het niet goed aan?""]","[""/vocab"", ""/stappenplan"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_vergelijk_aanpak,vergelijk_aanpak,Aanpak vergelijken,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""INSTRUCTION""]","[""P3"", ""P4""]",Verschillende oplossingen analyseren,5 min,Duo,vergelijken,TYPE2_ONTWERP,Twee oplossingsaanpakken naast elkaar leggen.,"[""Vergelijk jouw aanpak met die van je buur. Schrijf op: (1) wat hetzelfde is, (2) wat verschilt, (3) welke aanpak sterker is en waarom.""]","[""Als alleen \""hetzelfde\"": vraag naar specifieke stap die verschilt."", ""Als \""sterker\"" zonder uitleg: verplicht criterium noemen.""]","[""Overeenkomst en verschil benoemd"", ""Oordeel met criterium"", ""Vakterm gebruikt""]","[""Welke aanpak is efficiënter?"", ""Wat kun je overnemen?""]","[""/vergelijk"", ""/ref"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_kernzin_schrijven,kernzin_schrijven,Kernzin schrijven,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""CLOSING""]","[""P3"", ""P4""]",Essentie formuleren in één zin,3 min,Individueel,structureren,TYPE2_ONTWERP,Eén kernzin formuleren die de essentie vat.,"[""Schrijf in precies 1 zin de kern van [ONDERWERP]. De zin moet een vakterm en een signaalwoord bevatten.""]","[""Als >1 zin: laat samenvoegen tot 1."", ""Als geen vakterm: geef 2 opties, laat kiezen en inbouwen.""]","[""Eén zin"", ""Vakterm aanwezig"", ""Signaalwoord aanwezig"", ""Kern geraakt""]","[""Welk woord is het belangrijkst?"", ""Kun je het nog korter?""]","[""/schema"", ""/stappenplan"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_bewijs_zoeken,bewijs_zoeken,Bewijs zoeken in bron,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""INSTRUCTION""]","[""P3"", ""P4""]",Brongebruik en onderbouwing,6 min,Individueel,redeneren,TYPE3_MATERIAAL,Bewijs uit tekst/grafiek halen voor een stelling.,"[""Zoek in de bron bewijs voor de stelling: [STELLING]. Citeer of verwijs. Schrijf: \""Het bewijs is… dit toont aan dat…\"".""]","[""Als bewijs ontbreekt: wijs op relevante passage, laat opnieuw formuleren."", ""Als citaat zonder uitleg: verplicht \""Dit toont aan dat…\"".""]","[""Bewijs uit bron"", ""Koppeling aan stelling"", ""Signaalwoord in uitleg""]","[""Is dit het sterkste bewijs?"", ""Wat zou een tegenargument zijn?""]","[""/ref"", ""/devil"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_oefentoets,oefentoets,Oefentoets met zelfreflectie,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""CLOSING""]","[""P3"", ""P4""]",Toetsvoorbereiding + metacognitie,10 min,Individueel,diagnostiek,TYPE2_ONTWERP,Korte oefentoets met verplichte zelfreflectie achteraf.,"[""Maak de 5 vragen. Na afloop: markeer per vraag Zeker/Twijfel/Gok. Kies je \""twijfel\""-vraag en schrijf op wat je nodig hebt.""]","[""Als veel gok: heruitleg van dat onderdeel."", ""Als twijfel bij specifieke vraag: gerichte mini-instructie.""]","[""Alle vragen beantwoord"", ""Eerlijke zelfreflectie"", ""Leerstrategie benoemd""]","[""Welke vraag was het lastigst?"", ""Wat ga je anders doen?""]","[""/quizgen"", ""/beurtvraag"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_stopmoment,stopmoment,Stopmoment,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,PRACTICE,"[""INSTRUCTION""]","[""P3"", ""P4""]",Tussenstop voor heroriëntatie,2 min,Klas,metacognitie,TYPE2_ONTWERP,Korte pauze om werkrichting te checken.,"[""Stop even. Schrijf in 1 zin: waar ben ik nu mee bezig en wat is mijn volgende stap?""]","[""Als leerlingen niet weten wat volgende stap is: herhaal doel + geef concrete eerste actie."", ""Als veel dezelfde vraag: klassikale toelichting.""]","[""Weet waar je bent"", ""Volgende stap benoemd"", ""Eventuele vraag geformuleerd""]","[""Wat is je grootste uitdaging nu?"", ""Wat heb je nodig?""]","[""/meta"", ""/proces_eval"", ""/fading"", ""/contextualise"", ""/peer""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_exit_ticket,exit_ticket,Exit ticket,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,CLOSING,"[""PRACTICE""]","[""P4"", ""P5""]",Lesopbrengst meten,3 min,Individueel,verwoorden,TYPE2_ONTWERP,Exit-ticketvraag met succescriterium en sorteerpatronen.,"[""Schrijf: (1) kern van vandaag, (2) één vakterm, (3) één zin met \""omdat/daardoor/dus\""."", ""Lever in bij de deur.""]","[""Als veel dezelfde ontbrekende stap: start volgende les met wisbordjes op die stap."", ""Als taal zwak: plan herformuleren als starter volgende les.""]","[""Minimaal 1 vakterm"", ""Redeneerwoord gebruiken"", ""Eerlijk labelen""]","[""Wat is de kern in één zin?"", ""Welke stap vond je lastig?""]","[""/beurtvraag"", ""/teach"", ""/afsluiter"", ""/proces_eval"", ""/rubric""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_samenvatten_3,samenvatten_3,Samenvatten in 3 zinnen,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,CLOSING,"[""PRACTICE""]","[""P4"", ""P5""]",Kern selecteren en structureren,5 min,Individueel,structureren,TYPE3_MATERIAAL,"Samenvattingsstructuur: zinsframes (kern, verklaring, conclusie).","[""Schrijf de kern in 3 zinnen. Zin 1: wat. Zin 2: waarom. Zin 3: dus.""]","[""Als zin 2 of 3 ontbreekt: laat aanvullen met signaalwoord."", ""Als reproductie: verplicht \""omdat\"" in zin 2 en \""dus\"" in zin 3.""]","[""3 zinnen met verschillende functie"", ""Minstens 2 vaktermen"", ""Signaalwoord in zin 2 en 3""]","[""Wat is het verschil tussen zin 1 en 3?"", ""Welke vakterm was lastigst?""]","[""/schema"", ""/stappenplan"", ""/afsluiter"", ""/proces_eval"", ""/rubric""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_quick_scan,quick_scan,Quick scan 3-2-1,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,CLOSING,"[""INSTRUCTION""]","[""P4"", ""P5""]",Reflectie en diagnostiek,3 min,Individueel,reflecteren,TYPE2_ONTWERP,3-2-1 reflectiestructuur met sorteerpatronen.,"[""Schrijf: 3 dingen geleerd, 2 dingen toepasbaar, 1 vraag die je nog hebt.""]","[""Als \""3 dingen\"" reproductie: verplicht 1 item met \""omdat/doordat\""."", ""Als veel dezelfde open vraag: maak dat startpunt volgende les.""]","[""3-2-1 structuur volledig"", ""Minstens 1 vakterm"", ""Open vraag is specifiek""]","[""Welk punt is het belangrijkst?"", ""Waar kun je het direct toepassen?""]","[""/meta"", ""/afsluiter"", ""/proces_eval"", ""/rubric""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_muddiest_point,muddiest_point,Muddiest point,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,CLOSING,[],"[""P4"", ""P5""]",Lastigste punt identificeren,2 min,Individueel,metacognitie,TYPE2_ONTWERP,Leerling schrijft op wat het meest onduidelijk was.,"[""Schrijf op: wat was het lastigste/meest onduidelijke punt van vandaag? Wees zo specifiek mogelijk.""]","[""Als veel hetzelfde punt: start volgende les daarmee."", ""Als \""niets\"" lastig: vraag naar verschil met vorige les.""]","[""Specifiek punt benoemd"", ""Eerlijk"", ""Geen \""niets\""""]","[""Welk deel was wél helder?"", ""Wat zou helpen om het te begrijpen?""]","[""/meta"", ""/proces_eval"", ""/afsluiter"", ""/rubric""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_lesdoel_check,lesdoel_check,Lesdoel-check,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,CLOSING,[],"[""P4"", ""P5""]",Terugkoppelen naar lesdoel,3 min,Individueel,verwoorden,TYPE2_ONTWERP,Leerling evalueert of lesdoel is behaald.,"[""Lees het lesdoel terug. Schrijf: (1) Heb ik het doel gehaald? Ja/deels/nee. (2) Mijn bewijs: [voorbeeld of uitleg].""]","[""Als \""ja\"" zonder bewijs: verplicht concreet voorbeeld."", ""Als \""nee\"": laat schrijven wat er nog nodig is.""]","[""Eerlijke beoordeling"", ""Bewijs of voorbeeld"", ""Concreet vervolgplan bij \""nee/deels\""""]","[""Welk bewijs heb je?"", ""Wat zou je volgende les anders doen?""]","[""/beurtvraag"", ""/teach"", ""/afsluiter"", ""/proces_eval"", ""/rubric""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_tweet_les,tweet_les,Les in een tweet,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,CLOSING,[],"[""P4"", ""P5""]",Kern samenvatten in minimale ruimte,2 min,Individueel,structureren,TYPE2_ONTWERP,Samenvatten in max 140 tekens met vakterm.,"[""Vat de les samen in max 140 tekens (zoals een tweet). Gebruik minimaal 1 vakterm.""]","[""Als >140 tekens: laat inkorten, kies het belangrijkste."", ""Als geen vakterm: geef 2 opties, laat kiezen.""]","[""Max 140 tekens"", ""Kern geraakt"", ""Vakterm aanwezig""]","[""Welk woord is onmisbaar?"", ""Zou een klasgenoot je les herkennen?""]","[""/schema"", ""/stappenplan"", ""/afsluiter"", ""/proces_eval"", ""/rubric""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_tip_top,tip_top,Tip en top,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,CLOSING,"[""PRACTICE""]","[""P4"", ""P5""]",Zelfreflectie op werkproces,3 min,Individueel,reflecteren,TYPE2_ONTWERP,Eén tip (verbeteren) en één top (goed gedaan) benoemen.,"[""Schrijf 1 top (wat ging goed vandaag?) en 1 tip (wat wil je verbeteren?). Wees concreet.""]","[""Als top/tip vaag: verplicht concreet voorbeeld of stap noemen."", ""Als alleen positief: verplicht 1 verbeterpunt.""]","[""Concrete top"", ""Concrete tip"", ""Actiegericht""]","[""Hoe ga je je tip volgende keer toepassen?"", ""Waar ben je het meest trots op?""]","[""/meta"", ""/afsluiter"", ""/proces_eval"", ""/rubric""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_brief_aan_jezelf,brief_aan_jezelf,Brief aan jezelf,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,CLOSING,[],"[""P4"", ""P5""]",Langetermijnreflectie,4 min,Individueel,verwoorden,TYPE3_MATERIAAL,Schrijf een bericht aan jezelf voor volgende les.,"[""Schrijf een kort bericht aan jezelf-van-volgende-week: wat moet je onthouden? Wat ga je anders doen? Welke vakterm is het belangrijkst?""]","[""Als te kort: verplicht minimaal 3 zinnen."", ""Als geen vakterm: geef er 2, laat inbouwen.""]","[""Minimaal 3 zinnen"", ""Vakterm aanwezig"", ""Concreet voornemen""]","[""Wat is het belangrijkste om te onthouden?"", ""Wat ga je anders doen?""]","[""/beurtvraag"", ""/teach"", ""/afsluiter"", ""/proces_eval"", ""/rubric""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_rapportcijfer,rapportcijfer,Rapportcijfer met uitleg,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,CLOSING,[],"[""P4"", ""P5""]",Zelfevaluatie kwantificeren,2 min,Individueel,metacognitie,TYPE2_ONTWERP,Geef jezelf een cijfer en onderbouw het.,"[""Geef jezelf een cijfer (1-10) voor deze les. Schrijf in 1 zin waarom. Wat had je nodig voor 1 punt hoger?""]","[""Als iedereen 8+: vraag concreet bewijs."", ""Als veel <6: bespreek klassikaal wat er nodig is.""]","[""Cijfer gegeven"", ""Onderbouwing in 1 zin"", ""Verbeterpunt concreet""]","[""Wat maakt het verschil tussen een 6 en een 8?"", ""Wat heb je nodig?""]","[""/meta"", ""/proces_eval"", ""/afsluiter"", ""/rubric""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
fw_volgende_stap,volgende_stap,Mijn volgende stap,classroom_taalwerkvormen_v5_from_uploaded_zip_7,formative_workform_fix_candidate,CLOSING,"[""PRACTICE""]","[""P4"", ""P5""]",Concrete vervolgactie formuleren,2 min,Individueel,structureren,TYPE2_ONTWERP,Leerling formuleert concrete volgende stap in leerproces.,"[""Schrijf: \""Mijn volgende stap is…\"" Maak het zo concreet mogelijk. Wanneer, wat, hoe?""]","[""Als te vaag: verplicht wanneer + wat + hoe."", ""Als \""meer oefenen\"": verplicht welke oefening/onderwerp.""]","[""Concrete actie"", ""Tijdgebonden"", ""Gerelateerd aan lesstof""]","[""Wanneer ga je dit doen?"", ""Hoe weet je of het gelukt is?""]","[""/schema"", ""/stappenplan"", ""/afsluiter"", ""/proces_eval"", ""/rubric""]","Gebruik als formatieve werkvorm wanneer signalen, fase en focus beter vragen om klasactiviteit dan om één directe prompt.",False,True
