id,source,targets,relation_type,enforcement,action,trigger,expectation,on_violation,rationale,source_rubrics,related_rubrics,status,review_required,source_basis,confidence,maps_to,requirement,effect
A_C_AI_dominance,A,"[""C""]",moderates,soft_constraint,warn_if_unbalanced,A >= A4 AND C <= C2,High autonomy should not result in AI-dominated or weak regulation.,raise agency_erosion_risk; inspect co-regulation distribution,High system autonomy increases the chance that regulation shifts away from learner and teacher.,"[""A""]","[""A"", ""C""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
A_DBc_required,A,"[""DBc""]",depends_on,hard_constraint,block_if_violated,A >= A4 AND P >= P3,,configuration_invalid,Proactive autonomy in instruction or later phases requires human-in-the-loop supervision.,"[""A""]","[""A"", ""DBc""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC3""]",DBc = DBc5,
A_P_blocking_high,A,"[""P"", ""DBc""]",constrains,hard_constraint,block_if_violated,A >= A4 AND P >= P3,,configuration_invalid,High autonomy becomes blocking only when it enters learning-facing phases without the required supervision.,"[""A""]","[""A"", ""DBc"", ""P""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC3""]",DBc = DBc5,
Ad_C5_support,Ad,"[""C""]",supports,synergy,apply_positive_synergy,Ad >= Ad4 AND C = C5,,no_violation; absence of synergy only,"Adaptive processing is didactically safer when learner, teacher and system all keep a regulative role.","[""Ad""]","[""Ad"", ""C""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,,,Pedagogical adaptivity is strongest when triadic co-regulation remains intact.
Ad_VM_interaction,Ad,"[""VM""]",moderates,soft_constraint_and_synergy,warn_or_boost,Ad >= Ad3,VM >= VM3; Ad5 + VM4 produces synergy,warn: technical adaptivity may displace metacognition,"Adaptivity without metacognitive support optimizes output, not learning.","[""Ad""]","[""Ad"", ""VM""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""SC3"", ""SY3""]",,
B_K_type_dependency,B,"[""K""]",moderates,soft_constraint,warn_if_unbalanced,K >= K3 AND B <= B2,Conceptual and metacognitive knowledge work should use at least monitored and preferably corrected bias handling.,raise knowledge_bias_distortion_risk,"Bias is more harmful when the system shapes concepts, interpretations or metacognitive beliefs.","[""B""]","[""B"", ""K""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
B_P_blocking,B,"[""P""]",constrains,hard_constraint,block_if_violated,B <= B1 AND P >= P4,,configuration_invalid,"Manifest or subtle bias is unacceptable in practice, assessment or other consequential learning phases.","[""B""]","[""B"", ""P""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC6""]",configuration_valid = false,
C_A_AI_dominance,C,"[""A""]",moderates,soft_constraint,warn_if_unbalanced,C = C1 OR (A >= A4 AND C <= C2),Regulation should remain distributed when autonomy is high.,raise AI_dominance_risk,AI-dominated regulation becomes more risky as system autonomy rises.,"[""C""]","[""A"", ""C""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
C_S_dependency,C,"[""S""]",depends_on,score_consistency,reject_or_downgrade_band_assignment,C = C5 AND S <= S1,,do_not_assign_C5_without_social_evidence,Triadic co-regulation cannot be claimed when the interaction is fully or almost fully individual.,"[""C""]","[""C"", ""S""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,"C5 requires a social or teacher-involved setting; normally S >= S3, preferably S4",
C_VM_bidirectional,C,"[""VM""]",supports,soft_constraint_and_synergy,warn_or_boost,C >= C3,VM >= VM2; C5 + VM4 + X4 produces high-level SRL synergy,warn: regulation lacks metacognitive support,Shared regulation and metacognitive support reinforce each other.,"[""C""]","[""C"", ""VM""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""SY1""]",,
DA_E_minimum,DA,"[""E""]",depends_on,soft_constraint,warn_if_unbalanced,DA >= DA2 AND E <= E1,Visible or deep reasoning should have at least partial epistemic anchoring.,raise schijnredenering_risk,Reasoning depth without epistemic anchoring can create convincing but unreliable output.,"[""DA""]","[""DA"", ""E""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
DA_VM_interaction,DA,"[""VM""]",moderates,soft_constraint,warn_if_unbalanced,DA >= DA5 AND VM < VM3,Meta-deliberative systems should also support learner metacognition.,raise metacognitive_displacement_risk,System self-reflection can replace rather than develop learner reflection.,"[""DA""]","[""DA"", ""VM""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
DA_X_required,DA,"[""X""]",depends_on,hard_constraint,block_if_violated,DA >= DA3,,configuration_invalid,Internal deliberation without traceability breaks didactic controllability.,"[""DA""]","[""DA"", ""X""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC5""]",X >= X3,
DBc_A_required,DBc,"[""A""]",depends_on,hard_constraint,block_if_violated,A >= A4 AND P >= P3,,configuration_invalid,Corrective supervision must rise with autonomous initiative in learning-facing phases.,"[""DBc""]","[""A"", ""DBc""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC3""]",DBc = DBc5,
DBc_P_required,DBc,"[""P""]",depends_on,hard_constraint,block_if_violated,P >= P4,,configuration_invalid,Practice and assessment phases require stronger supervision than preparatory use.,"[""DBc""]","[""DBc"", ""P""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC1"", ""HC2""]",DBc >= DBc3; if P >= P5 then DBc >= DBc4,
DBc_X_consistency,DBc,"[""X""]",depends_on,score_consistency,reject_or_downgrade_band_assignment,DBc >= DBc3 AND X < X3,,downgrade DBc confidence or raise oversight_trace_gap,Supervision cannot be verified when process information is not inspectable.,"[""DBc""]","[""DBc"", ""X""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,"Contingent or active supervision needs enough trace to inspect triggers, decisions and corrections.",
E_DA_minimum,E,"[""DA""]",depends_on,score_consistency_and_synergy,reject_or_boost,E >= E4,,do_not_assign_E4_or_E5_without_reconstructable_reasoning_evidence,"High epistemic reliability requires visible or reconstructable reasoning, not only polished output.","[""E""]","[""DA"", ""E""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""SY4""]",DA >= DA2 for reconstructable reasoning; E4 + DA2 produces synergy,
E_X_required,E,"[""X""]",depends_on,score_consistency,reject_or_downgrade_band_assignment,E >= E4,,do_not_assign_E4_or_E5_without_traceability,"Verifiability requires traceable inputs, claims or transformations.","[""E""]","[""E"", ""X""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,X >= X3,
K_E_type_dependency,K,"[""E""]",moderates,soft_constraint,warn_if_unbalanced,K >= K3 AND E < E3,"Conceptual, metacognitive or integrated knowledge should be at least qualified and epistemically anchored.",raise concept_quality_risk,Higher-order knowledge work is fragile when claims are weakly anchored.,"[""K""]","[""E"", ""K""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
K_P_fit,K,"[""P""]",contextualizes,interpretive,calibrate_interpretation,always,,no_violation; add trace note when K and P appear mismatched,"The same process phase has a different risk profile for factual, procedural, conceptual and metacognitive work.","[""K""]","[""K"", ""P""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,Use knowledge type to interpret whether a process phase is pedagogically fitting.
K_V_effectiveness,K,"[""VC"", ""VM""]",constrains,soft_constraint,warn_if_unbalanced,K >= K3 AND VC < VC3 AND VM < VM2,Higher-order knowledge should have matching cognitive or metacognitive support.,raise support_knowledge_mismatch,Knowledge type sets the kind of support needed for effective learning.,"[""K""]","[""K"", ""VC"", ""VM""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
L_TD_schijnleren,L,"[""TD""]",constrains,soft_constraint,warn_if_unbalanced,TD >= TD4 AND L <= L2,High task transfer should not be combined with low continuity if learning claims are made.,warn: schijnleren aannemelijk,The learner can appear successful during AI-supported work without durable transfer.,"[""L""]","[""L"", ""TD""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""SC2""]",,
L_VM_required,L,"[""VM""]",depends_on,soft_constraint,warn_if_unbalanced,L >= L4 AND VM < VM3,Transfer and self-generated continuity normally require systematic metacognitive support.,raise continuity_metacognition_gap,"Durable learning over time depends on planning, monitoring and reflection.","[""L""]","[""L"", ""VM""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
P_A_warning,P,"[""A""]",moderates,soft_constraint,warn_if_unbalanced,P >= P3 AND A >= A4,High autonomy in instruction or later phases requires explicit supervision and accountability.,warn; if DBc != DBc5 then HC3 invalidates configuration,"Autonomy risk grows sharply once the system participates in teaching, practice or assessment.","[""P""]","[""A"", ""P""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC3""]",,
P_B_blocking,P,"[""B""]",constrains,hard_constraint,block_if_violated,P >= P4 AND B <= B1,,configuration_invalid,Bias cannot be accepted in phases with direct practice or assessment consequences.,"[""P""]","[""B"", ""P""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC6""]",configuration_valid = false,
P_DBc_required,P,"[""DBc""]",depends_on,hard_constraint,block_if_violated,P >= P4,,configuration_invalid,Later process phases need stronger correction and supervision.,"[""P""]","[""DBc"", ""P""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC1"", ""HC2""]",DBc >= DBc3; if P >= P5 then DBc >= DBc4,
P_X_required,P,"[""X""]",depends_on,soft_constraint,warn_if_unbalanced,P >= P4 AND X < X3,Practice and assessment phases should provide full traceability or better.,raise phase_transparency_gap,Higher-stakes phases require inspectable process evidence even when not listed as a hard invalidation.,"[""P""]","[""P"", ""X""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
S_C5_dependency,S,"[""C""]",supports,score_consistency,reject_or_downgrade_band_assignment,C = C5 AND S < S3,,do_not_assign_C5_without_social_context,C5 depends on the presence of a real social or teacher-mediated learning relation.,"[""S""]","[""C"", ""S""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,Triadic co-regulation requires enough social or teacher-involved structure.,
S_VS_bidirectional,S,"[""VS""]",supports,soft_constraint_and_synergy,warn_or_boost,S >= S3,VS >= VS2; VS4 strengthens socially shared metacognition,warn: social setting lacks skill support,Social learning works better when the system actively supports social learning skills.,"[""S""]","[""S"", ""VS""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,,,
TD_L_schijnleren,TD,"[""L""]",constrains,soft_constraint,warn_if_unbalanced,TD >= TD4 AND L <= L2,High task transfer should be tested for durable transfer.,warn: schijnleren aannemelijk,Performance under AI control is not evidence of learning continuity.,"[""TD""]","[""L"", ""TD""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""SC2""]",,
TD_P_contextual_correction,TD,"[""P""]",contextualizes,interpretive,calibrate_risk_weight,always,,no_violation; use as scoring context,"The same level of task transfer has different meaning in preparation, instruction, practice and assessment.","[""TD""]","[""P"", ""TD""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,Weight TD risk more heavily in P4-P5 than in P1-P2.
TD_V_inverse,TD,"[""VC"", ""VM""]",constrains,hard_constraint,block_if_violated,TD >= TD4 op vaardigheid x,,configuration_invalid,"If the system performs the core skill, it cannot also count as supporting the learner on that same skill.","[""TD""]","[""TD"", ""VC"", ""VM""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC4""]",VC <= VC2 OR VM <= VM2 on the same skill x,
T_A_governance,T,"[""A"", ""DBc"", ""X""]",moderates,soft_constraint,warn_if_unbalanced,T >= T4 AND A >= A4 AND (DBc < DBc4 OR X < X3),Multi-system integration with high autonomy needs active supervision and traceability.,raise governance_gap_risk,Integrated autonomous systems create responsibility and accountability gaps.,"[""T""]","[""A"", ""DBc"", ""T"", ""X""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
T_X_required,T,"[""X""]",depends_on,soft_constraint,warn_if_unbalanced,T >= T2 AND X < X2 OR T >= T4 AND X < X4,Higher technical integration needs stronger transparency.,raise integration_transparency_gap,"The more systems exchange data or coordinate, the more inspectability is needed.","[""T""]","[""T"", ""X""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
VA_C_interaction,VA,"[""C""]",moderates,soft_constraint,warn_if_unbalanced,VA >= VA4 AND C <= C1,Affective support should not combine with AI-dominated regulation.,raise affective_dependency_or_manipulation_risk,Strong affective modulation is safer when regulation remains shared.,"[""VA""]","[""C"", ""VA""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
VC_K_effectiveness,VC,"[""K""]",supports,soft_constraint,warn_if_unbalanced,K >= K3 AND VC < VC3,Conceptual or integrated knowledge requires at least structured cognitive support.,raise cognitive_support_gap,Higher-order knowledge needs more than retrieval-level support.,"[""VC""]","[""K"", ""VC""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
VC_TD_inverse,VC,"[""TD""]",constrains,hard_constraint,block_if_violated,TD >= TD4 AND VC >= VC3 on the same skill x,,configuration_invalid_or_downgrade_VC_on_skill_x,Skill support and skill takeover cannot be credited on the same learner skill.,"[""VC""]","[""TD"", ""VC""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC4""]",Do not count AI task takeover as cognitive skill support for the learner.,
VM_Ad_interaction,VM,"[""Ad""]",moderates,soft_constraint_and_synergy,warn_or_boost,Ad >= Ad3,VM >= VM3; Ad5 + VM4 produces synergy,warn: adaptivity may bypass learner metacognition,Metacognitive support turns technical adaptivity into pedagogical adaptivity.,"[""VM""]","[""Ad"", ""VM""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""SC3"", ""SY3""]",,
VM_C_bidirectional,VM,"[""C""]",supports,soft_constraint_and_synergy,warn_or_boost,C >= C3,VM >= VM2; C5 + VM4 + X4 is optimal for SRL,warn: shared regulation lacks metacognitive backbone,Co-regulation and metacognition reinforce each other.,"[""VM""]","[""C"", ""VM""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""SY1""]",,
VM_L_required,VM,"[""L""]",supports,soft_constraint,warn_if_unbalanced,L >= L4 AND VM < VM3,Transfer-level continuity requires systematic metacognitive support.,raise transfer_support_gap,"Continuity over contexts needs learner planning, monitoring and reflection.","[""VM""]","[""L"", ""VM""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
VS_S_bidirectional,VS,"[""S""]",supports,soft_constraint_and_synergy,warn_or_boost,S >= S3 OR VS >= VS3,Social setting and social skill support should be aligned.,warn: social environment and social support are mismatched,"A social learning space needs corresponding skill support, and vice versa.","[""VS""]","[""S"", ""VS""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,,,
X_DA_required,X,"[""DA""]",depends_on,hard_constraint,block_if_violated,DA >= DA3,,configuration_invalid,Deliberation hidden from inspection is not didactically controllable.,"[""X""]","[""DA"", ""X""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",high,"[""HC5""]",X >= X3,
X_P_required,X,"[""P""]",depends_on,soft_constraint,warn_if_unbalanced,P >= P4 AND X < X3,Higher-stakes learning phases require full traceability or better.,raise phase_transparency_gap,Practice and assessment need process evidence for correction and accountability.,"[""X""]","[""P"", ""X""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
X_T_required,X,"[""T""]",depends_on,soft_constraint,warn_if_unbalanced,T >= T2 AND X < X2 OR T >= T4 AND X < X4,Technical integration level and transparency level should rise together.,raise integration_transparency_gap,"Integrated systems need inspectable data flows, decisions and corrections.","[""X""]","[""T"", ""X""]",resolved,False,"[""gamma_coupling_ref"", ""gamma_constraints"", ""gamma_band_descriptions"", ""v16_relation_model""]",medium,,,
